type,period,last1_paytag,dtype1,dtype2,users,money_rmb,paid_add
paymentname_date_group,2024-11-15,大R,情人节活动,2024情人节信物礼包4,1,125.044800,
paymentname_date_group,2024-12-20,中R,月卡,资源月卡-9.99美元,6,375.134400,4200.0
paymentname_date_group,2024-12-16,小R,签到礼包,签到礼包2,3,375.134400,3600.0
paymentname_date_group,2024-10-11,超R,battlepass-周年庆,四周年通行证,1,125.044800,
paymentname_date_group,2024-10-23,大R,每日一键,一键购买,8,200.071680,1920.0
paymentname_date_group,2024-10-09,大R,4周年庆典自选礼包,4周年庆典自选礼包1,3,375.134400,3600.0
paymentname_date_group,2025-01-03,微R,神武锻造,神武锻造-购买档位1,2,135.465200,
paymentname_date_group,2024-10-11,大R,4周年庆典自选礼包,4周年庆典自选礼包1,6,750.268800,7200.0
paymentname_date_group,2025-01-11,非R,珍珠,4.99-32珍珠,1,33.866300,
paymentname_date_group,2025-02-27,小R,签到礼包,签到礼包1,12,750.268800,7200.0
paymentname_date_group,2024-11-18,中R,金币,0.99-30金币,5,91.699520,440.0
paymentname_date_group,2025-05-07,超R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2024-10-29,超R,网页充值,1320网页充值,1,3504.380520,
paymentname_date_group,2024-11-11,微R,月卡,4.99-月卡,2,67.732600,740.0
paymentname_date_group,2025-03-22,小R,月度周储钱罐,月度周储钱罐,2,33.345280,600.0
paymentname_date_group,2024-12-21,大R,荣耀特典,128231,1,125.044800,1200.0
paymentname_date_group,2025-04-24,大R,神武锻造,神武锻造-购买档位1,1,33.866300,
paymentname_date_group,2025-04-02,超R,网页充值,660网页充值,1,1168.126840,
paymentname_date_group,2024-12-31,小R,battlepass,段位battlepass,1,203.197800,1900.0
paymentname_date_group,2024-10-08,中R,金币,19.99-1200金币,2,250.089600,2400.0
paymentname_date_group,2025-03-21,微R,月卡,4.99-月卡,1,33.866300,370.0
paymentname_date_group,2024-10-09,小R,月卡,4.99-月卡,6,203.197800,2220.0
paymentname_date_group,2024-10-07,小R,金币,0.99-30金币,3,150.053760,760.0
paymentname_date_group,2025-01-09,大R,幸运屋,S33前田美津SSR+,4,312.612000,
paymentname_date_group,2025-02-06,大R,珍珠,99.99-660珍珠,5,4303.625200,
paymentname_date_group,2024-10-17,大R,4周年庆典自选礼包,4周年庆典自选礼包1,6,750.268800,7200.0
paymentname_date_group,2025-01-28,大R,月度周储钱罐,月度周储钱罐,2,33.345280,600.0
paymentname_date_group,2025-03-14,超R,情人节活动,2025情人节-节日礼包7,2,625.224000,6400.0
paymentname_date_group,2025-04-27,大R,珍珠,4.99-32珍珠,1,67.732600,
paymentname_date_group,2025-04-25,超R,周期-日礼包,每日礼包-V15,1,125.044800,1200.0
paymentname_date_group,2024-11-04,超R,珍珠,49.99-320珍珠,1,625.224000,
paymentname_date_group,2024-10-30,中R,4周年庆典自选礼包,4周年庆典自选礼包1,4,500.179200,4800.0
paymentname_date_group,2025-01-03,小R,月度周储钱罐,月度周储钱罐,2,33.345280,600.0
paymentname_date_group,2024-12-31,超R,6周年礼包,6周年-购买档位2-3,3,12296.072000,
paymentname_date_group,2024-11-04,超R,运营活动直购礼包,每日特惠活动档位3,2,1844.410800,
paymentname_date_group,2024-10-22,超R,月度周储钱罐,月度周储钱罐,1,16.672640,300.0
paymentname_date_group,2024-11-01,中R,月卡,资源月卡-9.99美元,8,500.179200,5600.0
paymentname_date_group,2025-04-26,大R,网页充值,120网页充值,2,356.377680,
paymentname_date_group,2024-10-06,超R,行脚商人,行脚商人-自选礼包4,2,1250.448000,12800.0
paymentname_date_group,2024-12-09,微R,金币,0.99-30金币,1,8.336320,40.0
paymentname_date_group,2024-12-03,微R,月卡,19.99-尊贵月卡,4,500.179200,5600.0
paymentname_date_group,2024-10-19,中R,情人节活动,2024情人节信物礼包1,8,541.860800,
paymentname_date_group,2024-10-26,小R,月卡,4.99-月卡,5,169.331500,1850.0
paymentname_date_group,2025-01-31,大R,倍率转盘,倍率转盘-游戏币礼包1,1,169.331500,
paymentname_date_group,2024-12-02,小R,月卡,资源月卡-9.99美元,5,312.612000,3500.0
paymentname_date_group,2025-04-01,微R,月卡,资源月卡-9.99美元,3,187.567200,2100.0
paymentname_date_group,2024-10-20,中R,月度活动,月度活跃-battlepass中级,2,250.089600,2400.0
paymentname_date_group,2025-02-08,超R,珍珠,0.99-4珍珠,1,16.672640,
paymentname_date_group,2025-05-24,超R,超级转盘,赛季UR转盘礼包3,2,4303.625200,
paymentname_date_group,2024-12-04,大R,珍珠,19.99-120珍珠,2,250.089600,
paymentname_date_group,2024-10-03,中R,网页充值,1320网页充值,1,1168.126840,
paymentname_date_group,2025-01-02,中R,签到礼包,签到礼包1,5,312.612000,3000.0
paymentname_date_group,2025-05-22,中R,月度活动,月度活跃-battlepass中级,1,125.044800,1200.0
paymentname_date_group,2025-01-09,小R,签到礼包,签到礼包2,2,250.089600,2400.0
paymentname_date_group,2025-05-24,微R,一条龙,一条龙礼包3,2,67.732600,1200.0
paymentname_date_group,2025-04-28,大R,珍珠,99.99-660珍珠,4,4303.625200,
paymentname_date_group,2024-11-29,中R,荣耀特典,328231,1,312.612000,3200.0
paymentname_date_group,2025-02-18,小R,情人节活动,2025情人节-巧克力礼包1,2,135.465200,
paymentname_date_group,2024-12-18,大R,月卡,资源月卡-9.99美元,2,125.044800,1400.0
paymentname_date_group,2024-11-09,大R,月卡,资源月卡-9.99美元,1,62.522400,700.0
paymentname_date_group,2025-04-01,小R,月卡,资源月卡-9.99美元,3,187.567200,2100.0
paymentname_date_group,2024-11-13,大R,情人节活动,2024情人节信物礼包3,6,11066.464800,
paymentname_date_group,2024-11-19,大R,周期-周礼包,周礼包-23,2,187.567200,1800.0
paymentname_date_group,2025-05-20,中R,珍珠,19.99-120珍珠,2,500.179200,
paymentname_date_group,2025-03-15,大R,珍珠,19.99-120珍珠,2,500.179200,
paymentname_date_group,2025-03-30,超R,情人节活动,2025情人节-巧克力礼包1,1,169.331500,
paymentname_date_group,2024-11-16,大R,珍珠,19.99-120珍珠,3,500.179200,
paymentname_date_group,2025-03-02,大R,月次祭礼包,月次祭礼包3,2,1844.410800,
paymentname_date_group,2025-04-26,中R,一条龙,一条龙礼包3,18,609.593400,10800.0
paymentname_date_group,2024-11-10,大R,神魔之乱,神魔-绘马礼包2,7,1750.627200,
paymentname_date_group,2024-12-14,大R,珍珠,4.99-32珍珠,4,237.064100,
paymentname_date_group,2025-04-25,中R,一条龙,一条龙礼包4,18,1125.403200,14400.0
paymentname_date_group,2024-11-07,微R,月度周储钱罐,月度周储钱罐,3,50.017920,900.0
paymentname_date_group,2024-11-17,超R,游园会通行证,游园会稀有礼包9.99-300金币,2,125.044800,1200.0
paymentname_date_group,2024-11-13,超R,月度周储钱罐,月度周储钱罐,1,16.672640,300.0
paymentname_date_group,2024-11-23,中R,周期-日礼包,每日礼包-神器4,1,67.732600,640.0
paymentname_date_group,2024-12-05,中R,游园会通行证,游园会稀有礼包9.99-300金币,5,312.612000,3000.0
paymentname_date_group,2024-10-05,大R,battlepass,段位battlepass,2,406.395600,3800.0
paymentname_date_group,2024-11-02,中R,6周年礼包,6周年-购买档位5-2,2,500.179200,
paymentname_date_group,2024-10-20,超R,限购礼包,650日元限时礼包=+金币+铁锭（装备饰品和改造道具）+试金石,2,135.465200,1600.0
paymentname_date_group,2024-12-07,中R,签到礼包,签到礼包4,9,5533.232400,59400.0
paymentname_date_group,2025-02-05,大R,神魔之乱,神魔-绘马礼包3,1,1229.607200,
paymentname_date_group,2024-11-18,大R,月次祭礼包,月次祭礼包2,1,625.224000,
paymentname_date_group,2024-11-19,中R,行脚商人,行脚商人-自选礼包2,4,312.612000,3000.0
paymentname_date_group,2024-10-17,超R,神武锻造,神武锻造-购买档位2,1,125.044800,
paymentname_date_group,2024-10-22,微R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2024-10-01,小R,battlepass,晋级征途,1,166.726400,
paymentname_date_group,2025-05-15,大R,每日一键,一键购买,2,50.017920,480.0
paymentname_date_group,2024-11-19,中R,每日一键,一键购买日礼包-2,2,16.672640,80.0
paymentname_date_group,2024-11-16,中R,签到礼包,签到礼包4,5,3074.018000,33000.0
paymentname_date_group,2025-03-11,超R,6周年礼包,6周年-购买档位1-2,2,250.089600,
paymentname_date_group,2024-11-27,中R,每日一键,一键购买,2,50.017920,480.0
paymentname_date_group,2025-02-08,大R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2025-03-20,大R,月次祭礼包,月次祭礼包2,2,875.313600,
paymentname_date_group,2025-04-22,中R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2024-12-23,大R,battlepass-周年庆,四周年通行证,7,875.313600,
paymentname_date_group,2025-03-07,中R,月卡,4.99-月卡,4,135.465200,1480.0
paymentname_date_group,2024-10-12,中R,神魔之乱,神魔-绘马礼包3,2,1229.607200,
paymentname_date_group,2025-01-05,超R,签到礼包,签到礼包1,1,62.522400,600.0
paymentname_date_group,2025-04-01,非R,签到礼包,签到礼包1,1,62.522400,600.0
paymentname_date_group,2025-04-30,大R,情人节活动,2024情人节信物礼包1,5,677.326000,
paymentname_date_group,2025-04-23,超R,限购礼包,11800日元限时礼包=+金币+刻印石+鸣灵石,1,614.803600,6600.0
paymentname_date_group,2025-05-17,大R,珍珠,49.99-320珍珠,2,625.224000,
paymentname_date_group,2025-01-20,中R,超级转盘,赛季UR转盘礼包1,2,338.663000,
paymentname_date_group,2025-05-21,微R,一条龙,一条龙礼包2-2,1,16.672640,300.0
paymentname_date_group,2024-12-28,中R,金币,19.99-1200金币,4,500.179200,4800.0
paymentname_date_group,2024-12-03,超R,珍珠,99.99-660珍珠,3,4918.428800,
paymentname_date_group,2024-11-26,大R,珍珠,9.99-60珍珠,3,187.567200,
paymentname_date_group,2025-01-16,超R,battlepass,段位battlepass,1,203.197800,1900.0
paymentname_date_group,2025-02-26,中R,月卡,4.99-月卡,1,33.866300,370.0
paymentname_date_group,2025-05-22,小R,月卡,4.99-2025月卡,3,101.598900,1110.0
paymentname_date_group,2025-04-09,超R,月度周储钱罐,月度周储钱罐,1,16.672640,300.0
paymentname_date_group,2024-10-25,微R,珍珠,4.99-32珍珠,1,33.866300,
paymentname_date_group,2025-02-22,大R,月卡,4.99-月卡,1,33.866300,370.0
paymentname_date_group,2025-05-12,小R,限购礼包,650日元限时礼包=+金币+化境研习橙色道具+玉钢,1,33.866300,320.0
paymentname_date_group,2024-12-14,中R,月度周储钱罐,月度周储钱罐,2,33.345280,600.0
paymentname_date_group,2024-10-25,小R,团购礼包,团购礼包-2400日元,1,125.044800,1200.0
paymentname_date_group,2025-02-07,中R,珍珠,4.99-32珍珠,3,169.331500,
paymentname_date_group,2025-01-11,中R,网页充值,120网页充值,1,118.792560,
paymentname_date_group,2024-10-06,微R,battlepass-周年庆,四周年通行证,3,375.134400,
paymentname_date_group,2025-02-04,大R,行脚商人,行脚商人-自选礼包1,3,203.197800,1920.0
paymentname_date_group,2024-12-17,中R,月度活动,月度活跃-battlepass中级,3,375.134400,3600.0
paymentname_date_group,2024-10-14,小R,每日一键,一键购买日礼包-1,2,16.672640,80.0
paymentname_date_group,2025-01-07,小R,金币,9.99-600金币,1,62.522400,600.0
paymentname_date_group,2025-02-24,超R,团购礼包,团购礼包-6000日元,1,312.612000,3200.0
paymentname_date_group,2024-10-12,中R,神魔之乱,神魔-绘马礼包1,5,677.326000,
paymentname_date_group,2024-11-22,大R,周期-日礼包,每日礼包-new-金币3,2,67.732600,960.0
paymentname_date_group,2024-12-08,大R,珍珠,99.99-660珍珠,4,4303.625200,
paymentname_date_group,2025-01-11,大R,超级转盘,赛季UR转盘礼包1,4,406.395600,
paymentname_date_group,2024-10-26,超R,4周年庆典自选礼包,4周年庆典自选礼包1,1,125.044800,1200.0
paymentname_date_group,2024-11-20,大R,金币,99.99-6600金币@JPY,1,614.803600,6600.0
paymentname_date_group,2025-01-11,中R,珍珠,19.99-120珍珠,5,875.313600,
paymentname_date_group,2025-04-30,微R,一条龙,一条龙礼包2,10,166.726400,3000.0
paymentname_date_group,2024-11-11,微R,签到礼包,签到礼包4,1,614.803600,6600.0
paymentname_date_group,2024-11-21,微R,月度周储钱罐,月度周储钱罐,3,50.017920,900.0
paymentname_date_group,2025-04-28,大R,网页充值,120网页充值,1,118.792560,
paymentname_date_group,2024-12-19,中R,珍珠,4.99-32珍珠,1,33.866300,
paymentname_date_group,2025-04-25,小R,一条龙,一条龙礼包2,22,366.798080,6600.0
paymentname_date_group,2025-05-19,超R,每日一键,一键购买,1,25.008960,240.0
paymentname_date_group,2024-12-10,超R,月度活动,月度活跃-battlepass高级,3,937.836000,9600.0
paymentname_date_group,2025-01-01,大R,神武锻造,神武锻造-购买档位1,2,101.598900,
paymentname_date_group,2024-10-19,中R,4周年庆典自选礼包,4周年庆典自选礼包2,2,625.224000,6400.0
paymentname_date_group,2025-03-31,中R,每日一键,一键购买日礼包-1,4,33.345280,160.0
paymentname_date_group,2025-05-24,微R,一条龙,一条龙礼包2-3,5,169.331500,3000.0
paymentname_date_group,2024-12-18,微R,月卡,资源月卡-9.99美元,2,125.044800,1400.0
paymentname_date_group,2024-10-30,中R,月卡,4.99-月卡,4,135.465200,1480.0
paymentname_date_group,2024-11-30,超R,团购礼包,团购礼包-6000日元,1,312.612000,3200.0
paymentname_date_group,2025-05-02,中R,月卡,9.99-2025资源月卡,1,62.522400,700.0
paymentname_date_group,2025-03-03,微R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2025-02-28,中R,签到礼包,签到礼包3,4,1250.448000,12800.0
paymentname_date_group,2025-04-19,微R,月度活动,月度活跃-battlepass中级,1,125.044800,1200.0
paymentname_date_group,2025-01-17,大R,珍珠,99.99-660珍珠,2,1229.607200,
paymentname_date_group,2024-11-18,中R,周期-日礼包,每日礼包-神器4,1,33.866300,320.0
paymentname_date_group,2025-05-26,小R,月度周储钱罐,月度周储钱罐,10,166.726400,
paymentname_date_group,2024-10-30,中R,金币,99.99-6600金币@JPY,1,614.803600,6600.0
paymentname_date_group,2024-12-01,超R,情人节活动,2024情人节史诗礼包19.99-600金币,1,125.044800,1200.0
paymentname_date_group,2025-04-10,大R,情人节活动,2025情人节-节日礼包11,1,1229.607200,13200.0
paymentname_date_group,2025-05-23,中R,一条龙,一条龙礼包3,3,101.598900,1800.0
paymentname_date_group,2024-11-18,中R,月度活动,月度活跃-battlepass中级,3,375.134400,3600.0
paymentname_date_group,2025-01-04,超R,签到礼包,签到礼包3,1,312.612000,3200.0
paymentname_date_group,2025-02-27,小R,网页充值,60网页充值,1,59.396280,
paymentname_date_group,2025-03-07,中R,珍珠,0.99-4珍珠,4,58.354240,
paymentname_date_group,2024-10-02,大R,月次祭礼包,月次祭礼包2,1,125.044800,
paymentname_date_group,2025-05-17,微R,一条龙,一条龙礼包2,12,200.071680,3600.0
paymentname_date_group,2024-12-26,中R,每日一键,一键购买日礼包-2,2,16.672640,80.0
paymentname_date_group,2025-03-20,小R,月卡,19.99-尊贵月卡,1,125.044800,1400.0
paymentname_date_group,2025-05-23,中R,金币,99.99-6600金币@JPY,1,614.803600,6600.0
paymentname_date_group,2025-05-05,大R,周期-日礼包,每日礼包-V15-5,2,16.672640,200.0
paymentname_date_group,2025-01-10,中R,金币,99.99-6600金币@JPY,1,614.803600,6600.0
paymentname_date_group,2024-11-18,中R,金币,4.99-300金币,1,33.866300,320.0
paymentname_date_group,2024-10-18,大R,月度活动,月度活跃-battlepass中级,1,125.044800,1200.0
paymentname_date_group,2025-05-06,微R,月卡,19.99-2025尊贵月卡,1,125.044800,1300.0
paymentname_date_group,2025-02-08,中R,幸运屋,新-明智光秀SSR,1,33.866300,
paymentname_date_group,2025-03-09,中R,珍珠,9.99-60珍珠,3,312.612000,
paymentname_date_group,2024-10-24,中R,周期-日礼包,每日礼包-new-金币1,1,8.336320,80.0
paymentname_date_group,2025-02-25,中R,网页充值,660网页充值,1,584.063420,
paymentname_date_group,2025-02-04,微R,月度周储钱罐,月度周储钱罐,2,33.345280,600.0
paymentname_date_group,2024-11-28,大R,珍珠,99.99-660珍珠,3,1844.410800,
paymentname_date_group,2025-02-17,中R,珍珠,19.99-120珍珠,2,250.089600,
paymentname_date_group,2025-01-27,小R,网页充值,4网页充值,1,7.919504,
paymentname_date_group,2025-04-15,超R,battlepass,晋级征途,1,166.726400,
paymentname_date_group,2024-10-20,大R,限购礼包,650日元限时礼包=+金币+铁锭（装备饰品和改造道具）+试金石,4,237.064100,2800.0
paymentname_date_group,2024-10-03,中R,周期-周礼包,周礼包-22,1,33.866300,320.0
paymentname_date_group,2025-04-04,微R,金币,49.99-3200金币,1,312.612000,3200.0
paymentname_date_group,2025-02-16,超R,签到礼包,签到礼包1,2,125.044800,1200.0
paymentname_date_group,2025-02-11,大R,战鼓解锁,战鼓2,1,125.044800,
paymentname_date_group,2025-03-08,非R,网页充值,120网页充值,1,118.792560,
paymentname_date_group,2025-04-29,大R,月度周储钱罐,月度周储钱罐,2,33.345280,600.0
paymentname_date_group,2025-02-13,中R,签到礼包,签到礼包3,1,312.612000,3200.0
paymentname_date_group,2024-11-22,大R,每日一键,一键购买日礼包-2,2,16.672640,80.0
paymentname_date_group,2024-12-09,微R,每日一键,一键购买,2,50.017920,480.0
paymentname_date_group,2025-05-11,未活跃,月卡,9.99-2025尊贵月卡-回流折扣,1,62.522400,1300.0
paymentname_date_group,2025-04-04,中R,珍珠,0.99-4珍珠,2,58.354240,
paymentname_date_group,2025-03-17,大R,6周年礼包,6周年-购买档位2-2,1,625.224000,
paymentname_date_group,2025-02-10,小R,赛季UR养成通行证,赛季UR养成战力battlepass49.99-3200金币,1,312.612000,3200.0
paymentname_date_group,2024-12-01,超R,珍珠,99.99-660珍珠,3,6762.839600,
paymentname_date_group,2024-11-29,中R,珍珠,49.99-320珍珠,1,312.612000,
paymentname_date_group,2025-05-16,中R,网页充值,660网页充值,1,584.063420,
paymentname_date_group,2024-12-18,小R,珍珠,4.99-32珍珠,1,33.866300,
paymentname_date_group,2025-04-01,微R,每日一键,一键购买日礼包-2,2,16.672640,80.0
paymentname_date_group,2025-01-23,大R,网页充值,60网页充值,1,59.396280,
paymentname_date_group,2025-05-06,微R,周期-周礼包,每周礼包-V9-14,1,33.866300,640.0
paymentname_date_group,2024-10-07,大R,battlepass-周年庆,四周年通行证,1,125.044800,
paymentname_date_group,2024-11-24,小R,限购礼包,320日元限时礼包=+金币+朱砂+,1,16.672640,160.0
paymentname_date_group,2025-04-16,微R,月卡,资源月卡-9.99美元,1,62.522400,700.0
paymentname_date_group,2024-12-27,中R,珍珠,9.99-60珍珠,1,62.522400,
paymentname_date_group,2025-05-19,超R,4周年庆典自选礼包,4周年庆典自选礼包2,1,312.612000,3200.0
paymentname_date_group,2025-05-13,超R,每日一键,一键购买,2,50.017920,480.0
paymentname_date_group,2025-04-14,大R,珍珠,49.99-320珍珠,1,312.612000,
paymentname_date_group,2025-02-16,微R,签到礼包,签到礼包1,2,125.044800,1200.0
paymentname_date_group,2024-10-28,中R,运营活动直购礼包,每日特惠活动档位3,1,614.803600,
paymentname_date_group,2024-11-19,大R,金币,99.99-6600金币@JPY,1,1229.607200,13200.0
paymentname_date_group,2025-03-27,非R,金币,0.99-30金币,1,8.336320,40.0
paymentname_date_group,2024-10-13,微R,签到礼包,签到礼包1,2,125.044800,1200.0
paymentname_date_group,2024-10-13,大R,网页充值,660网页充值,1,584.063420,
paymentname_date_group,2025-03-24,大R,超级转盘,赛季UR转盘礼包2,2,250.089600,
paymentname_date_group,2025-05-19,非R,一条龙,一条龙礼包2-2,1,16.672640,300.0
paymentname_date_group,2025-05-25,中R,月度活动,月度活跃-battlepass高级,2,625.224000,6400.0
paymentname_date_group,2025-01-20,大R,珍珠,4.99-32珍珠,2,101.598900,
paymentname_date_group,2024-12-26,小R,4周年庆典自选礼包,4周年庆典自选礼包1,5,625.224000,6000.0
paymentname_date_group,2024-12-30,超R,珍珠,19.99-120珍珠,3,375.134400,
paymentname_date_group,2025-02-03,中R,珍珠,99.99-660珍珠,1,614.803600,
paymentname_date_group,2025-05-10,小R,金币,19.99-1200金币,1,125.044800,1200.0
paymentname_date_group,2024-11-08,超R,网页充值,1320网页充值,1,1168.126840,
paymentname_date_group,2025-05-17,微R,情人节活动,2024情人节史诗礼包19.99-600金币,1,125.044800,1200.0
paymentname_date_group,2025-04-14,微R,月卡,19.99-尊贵月卡,2,250.089600,2800.0
paymentname_date_group,2024-11-04,非R,金币,0.99-30金币,1,8.336320,120.0
paymentname_date_group,2025-03-12,超R,珍珠,19.99-120珍珠,1,250.089600,
paymentname_date_group,2024-12-04,小R,月卡,资源月卡-9.99美元,2,125.044800,1400.0
paymentname_date_group,2025-02-15,超R,情人节活动,2025情人节-节日礼包9,1,1229.607200,13200.0
paymentname_date_group,2025-01-08,大R,每日一键,一键购买日礼包-2,1,8.336320,40.0
paymentname_date_group,2024-12-18,小R,battlepass,晋级征途,1,166.726400,
paymentname_date_group,2025-01-31,小R,月度周储钱罐,月度周储钱罐,3,50.017920,900.0
paymentname_date_group,2025-01-19,小R,4周年庆典自选礼包,4周年庆典自选礼包1,2,250.089600,2400.0
paymentname_date_group,2024-12-07,超R,团购礼包,团购礼包-6000日元,2,1250.448000,12800.0
paymentname_date_group,2024-12-03,微R,珍珠,4.99-32珍珠,1,33.866300,
paymentname_date_group,2025-05-09,微R,月卡,9.99-2025资源月卡,2,125.044800,1400.0
paymentname_date_group,2025-01-03,超R,4周年庆典自选礼包,4周年庆典自选礼包1,2,250.089600,2400.0
paymentname_date_group,2025-02-20,中R,行脚商人,行脚商人-自选礼包3,1,250.089600,2400.0
paymentname_date_group,2025-05-20,小R,珍珠,4.99-32珍珠,2,67.732600,
paymentname_date_group,2025-01-03,中R,每日一键,一键购买日礼包-2,3,25.008960,120.0
paymentname_date_group,2025-05-05,中R,周期-周礼包,每周礼包-V9-14,1,125.044800,1200.0
paymentname_date_group,2025-05-17,超R,月卡,4.99-2025月卡,4,135.465200,1480.0
paymentname_date_group,2024-10-19,中R,情人节活动,2024情人节信物礼包2,3,875.313600,
paymentname_date_group,2025-05-03,超R,限购礼包,650日元限时礼包=+金币+化境研习橙色道具+玉钢,1,67.732600,640.0
paymentname_date_group,2024-10-15,中R,幸运屋,德川家康SSR+获得礼包,1,62.522400,
paymentname_date_group,2025-05-08,中R,珍珠,0.99-4珍珠,1,8.336320,
paymentname_date_group,2025-05-06,小R,每日一键,一键购买,1,25.008960,240.0
paymentname_date_group,2025-03-08,中R,珍珠,49.99-320珍珠,1,312.612000,
paymentname_date_group,2024-10-18,小R,签到礼包,签到礼包1,2,125.044800,1200.0
paymentname_date_group,2025-03-14,中R,珍珠,0.99-4珍珠,2,16.672640,
paymentname_date_group,2025-05-19,小R,4周年庆典自选礼包,4周年庆典自选礼包1,1,125.044800,1200.0
paymentname_date_group,2025-05-01,超R,珍珠,99.99-660珍珠,6,12910.875600,
paymentname_date_group,2024-10-02,大R,周期-周礼包,周礼包-22,1,33.866300,320.0
paymentname_date_group,2025-02-06,微R,每日一键,一键购买日礼包-2,1,8.336320,40.0
paymentname_date_group,2025-05-12,中R,每日一键,一键购买日礼包-1,2,16.672640,80.0
paymentname_date_group,2024-12-15,中R,月度周储钱罐,月度周储钱罐,2,33.345280,600.0
paymentname_date_group,2025-03-05,中R,每日一键,一键购买日礼包-1,1,8.336320,40.0
paymentname_date_group,2024-12-13,大R,限购礼包,2400日元限时礼包=+金币+金色装备8选1+玉钢,1,250.089600,2400.0
paymentname_date_group,2024-12-29,大R,每日一键,一键购买日礼包-3,1,16.672640,160.0
paymentname_date_group,2025-05-23,未活跃,行脚商人,行脚商人-自选礼包2,1,125.044800,1200.0
paymentname_date_group,2025-05-07,中R,珍珠,99.99-660珍珠,2,1229.607200,
paymentname_date_group,2025-01-22,中R,珍珠,49.99-320珍珠,1,312.612000,
paymentname_date_group,2025-05-24,小R,一条龙,一条龙礼包2,6,100.035840,1800.0
paymentname_date_group,2025-05-10,超R,情人节活动,2025情人节-巧克力礼包1,2,203.197800,
paymentname_date_group,2025-03-27,中R,情人节活动,2024情人节信物礼包5,1,614.803600,
paymentname_date_group,2025-01-16,小R,battlepass,晋级征途,1,166.726400,
paymentname_date_group,2025-03-30,小R,每日一键,一键购买,3,75.026880,720.0
paymentname_date_group,2024-10-02,大R,限购礼包,320日元限时礼包=+金币+圣诞金币随机包·小+,1,16.672640,200.0
paymentname_date_group,2025-05-21,中R,月次祭礼包,月次祭礼包2,1,375.134400,
paymentname_date_group,2024-11-21,中R,周期-周礼包,周礼包-10,1,135.465200,1280.0
paymentname_date_group,2024-10-31,中R,开运礼包,开运礼包3,1,125.044800,1200.0
paymentname_date_group,2025-01-12,超R,6周年礼包,6周年-购买档位3-3,3,3688.821600,
paymentname_date_group,2025-05-26,微R,情人节活动,2024情人节信物礼包3,1,614.803600,
paymentname_date_group,2025-04-11,中R,月度活动,月度活跃-battlepass高级,1,312.612000,3200.0
paymentname_date_group,2025-04-12,中R,珍珠,19.99-120珍珠,2,250.089600,
paymentname_date_group,2025-04-24,大R,超级转盘,赛季UR转盘礼包1,1,169.331500,
paymentname_date_group,2025-01-22,中R,月卡,资源月卡-9.99美元,2,125.044800,1400.0
paymentname_date_group,2025-04-02,小R,珍珠,19.99-120珍珠,1,125.044800,
paymentname_date_group,2025-02-09,超R,珍珠,0.99-4珍珠,1,16.672640,
paymentname_date_group,2024-12-08,中R,珍珠,0.99-4珍珠,3,25.008960,
paymentname_date_group,2025-01-20,大R,月卡,19.99-尊贵月卡,1,125.044800,1400.0
paymentname_date_group,2024-10-15,大R,行脚商人,行脚商人-自选礼包5,1,614.803600,6600.0
paymentname_date_group,2025-01-01,超R,签到礼包,签到礼包1,4,250.089600,2400.0
paymentname_date_group,2025-03-27,大R,神武锻造,神武锻造-购买档位3,4,5533.232400,
paymentname_date_group,2025-01-01,小R,金币,19.99-1200金币,2,250.089600,2400.0
paymentname_date_group,2024-12-10,大R,月卡,19.99-尊贵月卡,1,125.044800,1400.0
paymentname_date_group,2025-04-03,小R,每日一键,一键购买日礼包-1,1,8.336320,40.0
paymentname_date_group,2025-03-11,微R,幸运屋,全UR获得礼包,1,93.783600,
paymentname_date_group,2025-01-02,小R,神魔之乱,神魔-绘马礼包2,2,500.179200,
paymentname_date_group,2024-12-30,中R,珍珠,4.99-32珍珠,2,101.598900,
paymentname_date_group,2025-01-09,超R,超级转盘,赛季UR转盘礼包3,2,1844.410800,
paymentname_date_group,2025-02-07,中R,每日一键,一键购买,2,50.017920,480.0
paymentname_date_group,2025-03-04,中R,珍珠,19.99-120珍珠,2,375.134400,
paymentname_date_group,2024-11-07,小R,神魔之乱,神魔-绘马礼包2,2,750.268800,
paymentname_date_group,2025-04-23,超R,珍珠,4.99-32珍珠,1,33.866300,
paymentname_date_group,2025-03-11,小R,周期-日礼包,每日礼包-new-金币5,1,125.044800,1800.0
paymentname_date_group,2025-01-15,大R,幸运屋,上杉谦信SSR+,1,62.522400,
paymentname_date_group,2024-10-17,大R,情人节活动,2024情人节信物礼包2,1,125.044800,
paymentname_date_group,2025-04-03,中R,月度活动,月度活跃-battlepass中级,2,250.089600,2400.0
paymentname_date_group,2024-10-06,微R,神武锻造,神武锻造-购买档位2,1,125.044800,
paymentname_date_group,2025-03-10,超R,6周年礼包,6周年-购买档位1-1,1,338.663000,
paymentname_date_group,2024-11-24,大R,每日一键,一键购买日礼包-2,2,16.672640,80.0
paymentname_date_group,2024-11-21,微R,珍珠,0.99-4珍珠,1,33.345280,
paymentname_date_group,2024-12-05,中R,每日一键,一键购买日礼包-1,3,25.008960,120.0
